locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Gdańsk Przymorze,ul. Olsztyńska,2,43,989000,23271,Bez pośredników,ponad tydzień temu,34,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-olsztynska-2-pokojowe-k5k8i2,https://s2.adresowa.pl/oi/4b/65/3b01b8_2ee9_cover-2-pokojowe-mieszkanie-gdansk-przymorze-ul-olsztynska.jpg
Gdańsk Ujeścisko,ul. Przemyska,1,32,420000,13125,Bez pośredników,3 dni temu,6,https://adresowo.pl/o/mieszkanie-gdansk-ujescisko-ul-przemyska-1-pokoj-u2r4z1,https://s2.adresowa.pl/oi/5a/44/3b26de_f48e_cover-1-pokojowe-mieszkanie-gdansk-ujescisko-ul-przemyska.jpg
Gdańsk Siedlce,ul. Kartuska,2,63,819000,13000,Bez pośredników,3 dni temu,9,https://adresowo.pl/o/mieszkanie-gdansk-siedlce-ul-kartuska-2-pokojowe-e1t1b5,https://s2.adresowa.pl/oi/35/4a/3b2684_ae20_cover-2-pokojowe-mieszkanie-gdansk-siedlce-ul-kartuska.jpg
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/gdansk/orunia-gorna/,
Gdańsk Wrzeszcz,ul. Jesionowa,2,50,zapytaj o cenę,,Bez pośredników,,6,https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-ul-jesionowa-2-pokojowe-a1e4k2,https://s2.adresowa.pl/development/671246/nowe-mieszkania-jesionowa-vita-3f7f_cover.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Gdańsk Śródmieście,ul. Stefanii Sempołowskiej,3,63,575000,9127,Oferta biura nieruchomości,6 dni temu,12,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-stefanii-sempolowskiej-3-pokojowe-f3w9h0,https://s2.adresowa.pl/oi/26/4c/3b1bb8_6b56_cover-3-pokojowe-mieszkanie-gdansk-srodmiescie-ul-stefanii-sempolowskiej.jpg
Gdańsk Zakoniczyn,ul. kmdr. Tadeusza Bramińskiego,2,49,709000,14481,Oferta biura nieruchomości,6 dni temu,18,https://adresowo.pl/o/mieszkanie-gdansk-zakoniczyn-ul-kmdr-tadeusza-braminskiego-2-pokojowe-f5b6m7,https://s2.adresowa.pl/oi/7f/63/3b1afa_cbb3_cover-2-pokojowe-mieszkanie-gdansk-zakoniczyn-ul-kmdr-tadeusza-braminskiego.jpg
Gdańsk Śródmieście,ul. Sienna Grobla,2,27,990000,36171,Bez pośredników,3 dni temu,13,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-sienna-grobla-2-pokojowe-s1g6u7,https://s2.adresowa.pl/oi/5e/25/3b25a4_390f_cover-2-pokojowe-mieszkanie-gdansk-srodmiescie-ul-sienna-grobla.jpg
Gdańsk Jasień,ul. Kazimierza Leskiego,3,49,659000,13471,Bez pośredników,3 dni temu,19,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-kazimierza-leskiego-3-pokojowe-h7a9o6,https://s2.adresowa.pl/oi/7e/64/3b2522_a5eb_cover-3-pokojowe-mieszkanie-gdansk-jasien-ul-kazimierza-leskiego.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Gdańsk Orunia Górna,ul. Kazimierza Wielkiego,2,43,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-kazimierza-wielkiego-2-pokojowe-l9a6i6,https://s2.adresowa.pl/development/668314/nowe-mieszkania-poludnie-vita-98f8_cover.jpg
Gdańsk Łostowice,ul. Niepołomicka,2,42,649000,15523,Oferta biura nieruchomości,ponad tydzień temu,13,https://adresowo.pl/o/mieszkanie-gdansk-lostowice-ul-niepolomicka-2-pokojowe-i6t8e8,https://s2.adresowa.pl/oi/59/1f/3b159e_be86_cover-2-pokojowe-mieszkanie-gdansk-lostowice-ul-niepolomicka.jpg
Gdańsk Osowa,ul. Antygony,2,58,690000,11856,Oferta biura nieruchomości,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-gdansk-osowa-ul-antygony-2-pokojowe-m5h4g8,https://s2.adresowa.pl/oi/31/18/3b0cba_6dce_cover-2-pokojowe-mieszkanie-gdansk-osowa-ul-antygony.jpg
Gdańsk Jasień,,4,81,949000,11716,Bez pośredników,6 dni temu,20,https://adresowo.pl/o/mieszkanie-gdansk-jasien-4-pokojowe-81-m2-n9f7k2,https://s2.adresowa.pl/oi/69/7c/3b1e44_5e04_cover-4-pokojowe-mieszkanie-gdansk-jasien.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
