locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Katowice Załęże,ul. Lisa,1,30,225000,7500,Bez pośredników,2 dni temu,8,https://adresowo.pl/o/mieszkanie-katowice-zaleze-ul-lisa-1-pokoj-x4f7w0,https://s2.adresowa.pl/oi/13/55/3b0702_e1ff_cover-1-pokojowe-mieszkanie-katowice-zaleze-ul-lisa.jpg
Katowice Dąb,,1,36,315000,8750,Bez pośredników,3 dni temu,4,https://adresowo.pl/o/mieszkanie-katowice-dab-1-pokoj-36-m2-c2j0b4,https://s2.adresowa.pl/oi/5c/60/3b02a2_c2a4_cover-1-pokojowe-mieszkanie-katowice-dab.jpg
Katowice Brynów,ul. Ceglana,2,40,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-katowice-brynow-ul-ceglana-2-pokojowe-q4h5l8,https://s2.adresowa.pl/development/561699/nowe-mieszkania-ceglana-park-ba08_cover.jpg
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/katowice/bogucice-x/,
Katowice Śródmieście,ul. Juliusza Słowackiego,1,28,320000,11429,Oferta biura nieruchomości,2 dni temu,8,https://adresowo.pl/o/mieszkanie-katowice-srodmiescie-ul-juliusza-slowackiego-1-pokoj-w5d4q2,https://s2.adresowa.pl/oi/7b/64/3b075c_40ae_cover-1-pokojowe-mieszkanie-katowice-srodmiescie-ul-juliusza-slowackiego.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Katowice Ochojec,ul. Marcina Radockiego,3,62,549000,8855,Oferta biura nieruchomości,3 dni temu,11,https://adresowo.pl/o/mieszkanie-katowice-ochojec-ul-marcina-radockiego-3-pokojowe-t9w8z4,https://s2.adresowa.pl/oi/5f/6a/3b05b8_edcd_cover-3-pokojowe-mieszkanie-katowice-ochojec-ul-marcina-radockiego.jpg
Katowice Piotrowice,ul. Marcina Radockiego,3,57,510000,8947,Bez pośredników,4 dni temu,8,https://adresowo.pl/o/mieszkanie-katowice-piotrowice-ul-marcina-radockiego-3-pokojowe-z9n7r6,https://s2.adresowa.pl/oi/1b/4e/3b00fc_4cfe_cover-3-pokojowe-mieszkanie-katowice-piotrowice-ul-marcina-radockiego.jpg
Katowice Dąbrówka Mała,ul. Wiertnicza,2,50,475000,9500,Bez pośredników,4 dni temu,8,https://adresowo.pl/o/mieszkanie-katowice-dabrowka-mala-ul-wiertnicza-2-pokojowe-v5p6j2,https://s2.adresowa.pl/oi/10/50/3afeac_d370_cover-2-pokojowe-mieszkanie-katowice-dabrowka-mala-ul-wiertnicza.jpg
