locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Kraków Nowa Huta,os. Hutnicze,1,36,572400,15799,Bez pośredników,ponad tydzień temu,13,https://adresowo.pl/o/mieszkanie-krakow-nowa-huta-os-hutnicze-1-pokoj-f9f0v4,https://s2.adresowa.pl/oi/32/65/3af2f4_702e_cover-1-pokojowe-mieszkanie-krakow-nowa-huta-os-hutnicze.jpg
Kraków Krowodrza,ul. Józefa Wybickiego,2,54,839000,15409,Bez pośredników,wczorajnowe,11,https://adresowo.pl/o/mieszkanie-krakow-krowodrza-ul-jozefa-wybickiego-2-pokojowe-p0b5a6,https://s2.adresowa.pl/oi/21/24/3b1518_961e_cover-2-pokojowe-mieszkanie-krakow-krowodrza-ul-jozefa-wybickiego.jpg
Kraków Podgórze,ul. Obozowa,2,47,670000,14347,Bez pośredników,2 dni temu,10,https://adresowo.pl/o/mieszkanie-krakow-podgorze-ul-obozowa-2-pokojowe-e5w7o2,https://s2.adresowa.pl/oi/32/12/3b135e_9585_cover-2-pokojowe-mieszkanie-krakow-podgorze-ul-obozowa.jpg
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/krakow/czyzyny/,
Kraków,ul. Kobierzyńska,2,45,754947,16695,Bez pośredników,,2,https://adresowo.pl/o/mieszkanie-krakow-ul-kobierzynska-2-pokojowe-a1r5e5,https://s2.adresowa.pl/development/670664/nowe-mieszkania-apartamenty-casa-sole-4bda_cover.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Kraków Prądnik Biały,,3,51,715290,14125,Oferta biura nieruchomości,2 dni temu,3,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-3-pokojowe-50-m2-o8z8l9,https://s2.adresowa.pl/oi/78/30/3b139e_b2b1_cover-3-pokojowe-mieszkanie-krakow-pradnik-bialy.jpg
Kraków Prądnik Biały,,3,52,704800,13554,Oferta biura nieruchomości,2 dni temu,4,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-3-pokojowe-52-m2-y2u0t6,https://s2.adresowa.pl/oi/14/4f/3b139a_2776_cover-3-pokojowe-mieszkanie-krakow-pradnik-bialy.jpg
Kraków Czyżyny,os. Dywizjonu 303,1,33,555000,17025,Bez pośredników,3 dni temu,18,https://adresowo.pl/o/mieszkanie-krakow-czyzyny-os-dywizjonu-303-1-pokoj-j1u0j4,https://s2.adresowa.pl/oi/35/3f/3b12b8_ef99_cover-1-pokojowe-mieszkanie-krakow-czyzyny-os-dywizjonu-303.jpg
Kraków Wola Justowska,ul. Królowej Jadwigi,1,33,720000,21818,Bez pośredników,3 dni temu,10,https://adresowo.pl/o/mieszkanie-krakow-wola-justowska-ul-krolowej-jadwigi-1-pokoj-l3f0a0,https://s2.adresowa.pl/oi/4e/42/3b127c_866a_cover-1-pokojowe-mieszkanie-krakow-wola-justowska-ul-krolowej-jadwigi.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Kraków,ul. Kobierzyńska,3,59,868623,14700,Bez pośredników,,2,https://adresowo.pl/o/mieszkanie-krakow-ul-kobierzynska-3-pokojowe-w4e3o4,https://s2.adresowa.pl/development/670664/nowe-mieszkania-apartamenty-casa-sole-4bda_cover.jpg
Kraków,,2,40,578160,14454,Oferta biura nieruchomości,2 dni temu,4,https://adresowo.pl/o/mieszkanie-krakow-2-pokojowe-40-m2-v8l6a8,https://s2.adresowa.pl/oi/62/21/3b1398_52e8_cover-2-pokojowe-mieszkanie-krakow.jpg
Kraków Prądnik Biały,,2,33,485500,14712,Oferta biura nieruchomości,2 dni temu,3,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-2-pokojowe-33-m2-q2u4u9,https://s2.adresowa.pl/oi/65/78/3b1394_fe29_cover-2-pokojowe-mieszkanie-krakow-pradnik-bialy.jpg
Kraków Podgórze,ul. ks. Wincentego Turka,2,39,613800,15738,Bez pośredników,6 dni temu,8,https://adresowo.pl/o/mieszkanie-krakow-podgorze-ul-ks-wincentego-turka-2-pokojowe-z1i1y0,https://s2.adresowa.pl/oi/39/64/3b0ee6_b52d_cover-2-pokojowe-mieszkanie-krakow-podgorze-ul-ks-wincentego-turka.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Kraków Dębniki,ul. Obozowa,3,40,669000,16725,Bez pośredników,6 dni temu,11,https://adresowo.pl/o/mieszkanie-krakow-debniki-ul-obozowa-3-pokojowe-x6f0j6,https://s2.adresowa.pl/oi/33/4a/3b0e66_a0c6_cover-3-pokojowe-mieszkanie-krakow-debniki-ul-obozowa.jpg
Kraków Krowodrza,ul. Żabiniec,2,48,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-krakow-krowodrza-ul-zabiniec-2-pokojowe-z2p5y8,https://s2.adresowa.pl/development/671656/nowe-mieszkania-zabiniec-vita-c08d_cover.jpg
Kraków Prądnik Biały,,2,38,574000,15070,Oferta biura nieruchomości,2 dni temu,1,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-2-pokojowe-38-m2-w2x6w9,https://s2.adresowa.pl/oi/67/19/3b1382_522d_cover-2-pokojowe-mieszkanie-krakow-pradnik-bialy.jpg
Kraków Prądnik Biały,,2,39,583200,14935,Oferta biura nieruchomości,2 dni temu,1,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-2-pokojowe-39-m2-m0w4e0,https://s2.adresowa.pl/oi/61/79/3b1384_cc56_cover-2-pokojowe-mieszkanie-krakow-pradnik-bialy.jpg
Kraków Grzegórzki,ul. płk. Francesco Nullo,2,36,499000,13861,Bez pośredników,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-krakow-grzegorzki-ul-plk-francesco-nullo-2-pokojowe-n6x7w7,https://s2.adresowa.pl/oi/73/34/3b0bc8_6831_cover-2-pokojowe-mieszkanie-krakow-grzegorzki-ul-plk-francesco-nullo.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Kraków Podgórze,ul. gen. Tadeusza Kutrzeby,2,52,925000,17788,Bez pośredników,ponad tydzień temu,6,https://adresowo.pl/o/mieszkanie-krakow-podgorze-ul-gen-tadeusza-kutrzeby-2-pokojowe-c8z9j0,https://s2.adresowa.pl/oi/58/43/3b0b38_4c95_cover-2-pokojowe-mieszkanie-krakow-podgorze-ul-gen-tadeusza-kutrzeby.jpg
Kraków Płaszów,ul. Myśliwska,2,44,zapytaj o cenę,,Bez pośredników,,24,https://adresowo.pl/o/mieszkanie-krakow-plaszow-ul-mysliwska-2-pokojowe-y9t3e3,https://s2.adresowa.pl/development/671244/nowe-mieszkania-city-vibe-f7f8_cover.jpg
Kraków Prądnik Biały,,2,40,591100,14867,Oferta biura nieruchomości,2 dni temu,1,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-2-pokojowe-39-m2-t8n6n8,https://s2.adresowa.pl/oi/33/4a/3b1380_b406_cover-2-pokojowe-mieszkanie-krakow-pradnik-bialy.jpg
Kraków Stare Miasto,ul. Grodzka,3,117,2990000,25556,Oferta biura nieruchomości,2 dni temu,28,https://adresowo.pl/o/mieszkanie-krakow-stare-miasto-ul-grodzka-3-pokojowe-a3p8v3,https://s2.adresowa.pl/oi/48/11/3b12e8_3908_cover-3-pokojowe-mieszkanie-krakow-stare-miasto-ul-grodzka.jpg
Kraków Podgórze Duchackie,ul. Wiktora Heltmana,2,54,1300000,24074,Bez pośredników,ponad tydzień temu,12,https://adresowo.pl/o/mieszkanie-krakow-podgorze-duchackie-ul-wiktora-heltmana-2-pokojowe-l1b4f0,https://s2.adresowa.pl/oi/61/1a/3b0a96_ed5e_cover-2-pokojowe-mieszkanie-krakow-podgorze-duchackie-ul-wiktora-heltmana.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Kraków Podgórze Duchackie,ul. Spółdzielców,2,37,519000,14027,Bez pośredników,ponad tydzień temu,1,https://adresowo.pl/o/mieszkanie-krakow-podgorze-duchackie-ul-spoldzielcow-2-pokojowe-u7u5a2,https://s2.adresowa.pl/oi/31/2e/3b0a4c_e747_cover-2-pokojowe-mieszkanie-krakow-podgorze-duchackie-ul-spoldzielcow.jpg
Kraków Bieżanów,ul. Henryka i Karola Czeczów,2,36,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-krakow-biezanow-ul-henryka-i-karola-czeczow-2-pokojowe-c4l1s3,https://s2.adresowa.pl/development/449945/nowe-mieszkania-sloneczne-miasteczko-c8e4_cover.jpg
