locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Łódź Śródmieście,ul. Andrzeja Struga,2,53,539000,10094,Bez pośredników,ponad miesiąc temu,7,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-andrzeja-struga-2-pokojowe-o6a2x5,https://s2.adresowa.pl/oi/58/5a/39030c_6860_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-andrzeja-struga.jpg
Łódź Radogoszcz,ul. Liściasta,3,79,750500,9500,Bez pośredników,3 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-radogoszcz-ul-lisciasta-3-pokojowe-y5e9s4,https://s2.adresowa.pl/oi/1c/43/3ac668_ee84_cover-3-pokojowe-mieszkanie-lodz-radogoszcz-ul-lisciasta.jpg
Łódź Górna,,3,81,790000,9753,Bez pośredników,3 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-gorna-3-pokojowe-81-m2-t5f3p2,https://s2.adresowa.pl/oi/6b/44/3ac622_f606_cover-3-pokojowe-mieszkanie-lodz-gorna.jpg
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/lodz/srodmiescie-1/,
Łódź Teofilów,,3,57,395000,6930,Bez pośredników,3 dni temu,4,https://adresowo.pl/o/mieszkanie-lodz-teofilow-3-pokojowe-57-m2-k8x5z9,https://s2.adresowa.pl/oi/56/53/3ac5ca_dc05_cover-3-pokojowe-mieszkanie-lodz-teofilow.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Stoki,ul. Zbocze,3,63,314000,5002,Oferta biura nieruchomości,3 dni temu,7,https://adresowo.pl/o/mieszkanie-lodz-stoki-ul-zbocze-3-pokojowe-o3f6a4,https://s2.adresowa.pl/oi/17/2f/3ac532_2a0d_cover-3-pokojowe-mieszkanie-lodz-stoki-ul-zbocze.jpg
Łódź Dąbrowa,ul. Leopolda Staffa,2,39,265000,6731,Oferta biura nieruchomości,4 dni temu,11,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-leopolda-staffa-2-pokojowe-o3a1t4,https://s2.adresowa.pl/oi/25/7e/3ac2d2_605d_cover-2-pokojowe-mieszkanie-lodz-dabrowa-ul-leopolda-staffa.jpg
Łódź Górna,ul. Senatorska,2,48,600000,12500,Bez pośredników,3 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-senatorska-2-pokojowe-h0v0g1,https://s2.adresowa.pl/oi/21/4f/3ac584_5b55_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-senatorska.jpg
Łódź Bałuty,,2,41,325000,7927,Bez pośredników,3 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-2-pokojowe-41-m2-b1u1l2,https://s2.adresowa.pl/oi/33/33/3ac54a_b842_cover-2-pokojowe-mieszkanie-lodz-baluty.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Teofilów,,3,52,450000,8654,Bez pośredników,3 dni temu,5,https://adresowo.pl/o/mieszkanie-lodz-teofilow-3-pokojowe-52-m2-s6d2x4,https://s2.adresowa.pl/oi/3f/65/3ac540_6891_cover-3-pokojowe-mieszkanie-lodz-teofilow.jpg
Łódź Polesie,ul. Stefana Okrzei,3,52,329000,6268,Oferta biura nieruchomości,4 dni temu,11,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-stefana-okrzei-3-pokojowe-b7j7x3,https://s2.adresowa.pl/oi/38/38/3ac258_af0b_cover-3-pokojowe-mieszkanie-lodz-polesie-ul-stefana-okrzei.jpg
Łódź Śródmieście,ul. Wólczańska,2,39,426360,11000,Oferta biura nieruchomości,4 dni temu,5,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-wolczanska-2-pokojowe-r8q0v5,https://s2.adresowa.pl/oi/32/5f/3abe6e_6cfb_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-wolczanska.jpg
Łódź Radogoszcz,,2,51,380000,7451,Bez pośredników,3 dni temu,6,https://adresowo.pl/o/mieszkanie-lodz-radogoszcz-2-pokojowe-51-m2-v9e3d8,https://s2.adresowa.pl/oi/2c/73/3ac52e_29a4_cover-2-pokojowe-mieszkanie-lodz-radogoszcz.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Śródmieście,ul. Ludwika Zamenhofa,4,87,599000,6885,Bez pośredników,3 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-ludwika-zamenhofa-4-pokojowe-x7x6b4,https://s2.adresowa.pl/oi/61/39/3ac516_b5ea_cover-4-pokojowe-mieszkanie-lodz-srodmiescie-ul-ludwika-zamenhofa.jpg
Łódź Dąbrowa,ul. gen. Jarosława Dąbrowskiego,3,47,325000,6862,Bez pośredników,3 dni temu,12,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-gen-jaroslawa-dabrowskiego-3-pokojowe-p2g3m9,https://s2.adresowa.pl/oi/69/1a/3ac49c_58a0_cover-3-pokojowe-mieszkanie-lodz-dabrowa-ul-gen-jaroslawa-dabrowskiego.jpg
Łódź Śródmieście,ul. Wólczańska,2,39,424930,11000,Oferta biura nieruchomości,4 dni temu,5,https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-wolczanska-2-pokojowe-v9w5c6,https://s2.adresowa.pl/oi/49/7c/3abe6c_4b2f_cover-2-pokojowe-mieszkanie-lodz-srodmiescie-ul-wolczanska.jpg
Łódź Górna,ul. Tatrzańska,2,38,259000,6881,Oferta biura nieruchomości,5 dni temu,17,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-tatrzanska-2-pokojowe-e9m6t6,https://s2.adresowa.pl/oi/1d/5b/3abd3c_9aa8_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-tatrzanska.jpg
Łódź Bałuty,ul. Świtezianki,3,64,704000,11000,Bez pośredników,4 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-switezianki-3-pokojowe-w5z6l5,https://s2.adresowa.pl/oi/45/67/3ac018_df7e_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-switezianki.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Bałuty,ul. gen. Józefa Bema,3,86,999000,11616,Bez pośredników,4 dni temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-gen-jozefa-bema-3-pokojowe-h5z6c5,https://s2.adresowa.pl/oi/59/37/3ac016_c9fb_cover-3-pokojowe-mieszkanie-lodz-baluty-ul-gen-jozefa-bema.jpg
Łódź Retkinia,ul. Retkińska,1,31,326000,10516,Bez pośredników,4 dni temu,5,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-retkinska-1-pokoj-a3l0p9,https://s2.adresowa.pl/oi/49/3e/3abfa0_e464_cover-1-pokojowe-mieszkanie-lodz-retkinia-ul-retkinska.jpg
