locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Poznań Jeżyce,ul. Franklina Roosevelta,3,76,790000,10395,Bez pośredników,ponad tydzień temu,16,https://adresowo.pl/o/mieszkanie-poznan-jezyce-ul-franklina-roosevelta-3-pokojowe-d7t4p9,https://s2.adresowa.pl/oi/26/25/3a442a_e429_cover-3-pokojowe-mieszkanie-poznan-jezyce-ul-franklina-roosevelta.jpg
Poznań Grunwald,ul. Grochowska,2,40,469000,11725,Bez pośredników,6 dni temu,14,https://adresowo.pl/o/mieszkanie-poznan-grunwald-ul-grochowska-2-pokojowe-i3h2d9,https://s2.adresowa.pl/oi/2d/23/3ab4c2_ba54_cover-2-pokojowe-mieszkanie-poznan-grunwald-ul-grochowska.jpg
Poznań Dębiec,ul. Konarowa,2,46,529000,11500,Bez pośredników,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-poznan-debiec-ul-konarowa-2-pokojowe-m7a4r4,https://s2.adresowa.pl/oi/2f/68/3aa93a_a1e6_cover-2-pokojowe-mieszkanie-poznan-debiec-ul-konarowa.jpg
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/poznan/staroleka/,
Poznań Wilda,ul. Mieczysława Niedziałkowskiego,2,52,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-poznan-wilda-ul-mieczyslawa-niedzialkowskiego-2-pokojowe-w8e6a6,https://s2.adresowa.pl/development/671892/nowe-mieszkania-vilda-arte-3045_cover.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Poznań,ul. Jana Henryka Dąbrowskiego,3,74,670000,9054,Oferta biura nieruchomości,6 dni temu,23,https://adresowo.pl/o/mieszkanie-poznan-ul-jana-henryka-dabrowskiego-3-pokojowe-h6y7t2,https://s2.adresowa.pl/oi/33/63/3ab594_3273_cover-3-pokojowe-mieszkanie-poznan-ul-jana-henryka-dabrowskiego.jpg
Poznań,,2,57,688957,12013,Oferta biura nieruchomości,ponad tydzień temu,18,https://adresowo.pl/o/mieszkanie-poznan-2-pokojowe-57-m2-g3w9i8,https://s2.adresowa.pl/oi/29/60/3ab03c_f5e3_cover-2-pokojowe-mieszkanie-poznan.jpg
Poznań Wilda,ul. Dezyderego Chłapowskiego,1,33,329000,10123,Bez pośredników,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-poznan-wilda-ul-dezyderego-chlapowskiego-1-pokoj-z0p9i6,https://s2.adresowa.pl/oi/1d/11/3a9ef6_9f3c_cover-1-pokojowe-mieszkanie-poznan-wilda-ul-dezyderego-chlapowskiego.jpg
Poznań Wilda,ul. Dolina,2,42,539000,12833,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-poznan-wilda-ul-dolina-2-pokojowe-c8u2i9,https://s2.adresowa.pl/oi/66/65/3a9ea0_b6e3_cover-2-pokojowe-mieszkanie-poznan-wilda-ul-dolina.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Poznań Starołęka,ul. Unii Lubelskiej,2,45,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-poznan-staroleka-ul-unii-lubelskiej-2-pokojowe-v4h9i0,https://s2.adresowa.pl/development/671252/nowe-mieszkania-unii-lubelskiej-vita-b029_cover.jpg
Poznań Jeżyce,ul. Maksymiliana Jackowskiego,2,48,499000,10483,Oferta biura nieruchomości,ponad tydzień temu,22,https://adresowo.pl/o/mieszkanie-poznan-jezyce-ul-maksymiliana-jackowskiego-2-pokojowe-o2k4u0,https://s2.adresowa.pl/oi/14/62/3aaa90_8fbe_cover-2-pokojowe-mieszkanie-poznan-jezyce-ul-maksymiliana-jackowskiego.jpg
Poznań,,3,68,764384,11294,Oferta biura nieruchomości,ponad tydzień temu,17,https://adresowo.pl/o/mieszkanie-poznan-3-pokojowe-67-m2-b3g9t8,https://s2.adresowa.pl/oi/31/4a/3aa1fe_b29d_cover-3-pokojowe-mieszkanie-poznan.jpg
Poznań Sołacz,,1,38,410000,10789,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-poznan-solacz-1-pokoj-38-m2-e3u3k0,https://s2.adresowa.pl/oi/31/67/3a9cbe_6087_cover-1-pokojowe-mieszkanie-poznan-solacz.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Poznań Centrum,ul. Garbary,2,39,780000,19903,Bez pośredników,ponad tydzień temu,17,https://adresowo.pl/o/mieszkanie-poznan-centrum-ul-garbary-2-pokojowe-y7w9e6,https://s2.adresowa.pl/oi/17/27/3a957a_427f_cover-2-pokojowe-mieszkanie-poznan-centrum-ul-garbary.jpg
Poznań,ul. Królowej Jadwigi,2,45,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-poznan-ul-krolowej-jadwigi-2-pokojowe-e5s6w7,https://s2.adresowa.pl/development/671250/nowe-mieszkania-krolowej-jadwigi-a8c4_cover.jpg
Poznań,,2,39,469273,12098,Oferta biura nieruchomości,ponad tydzień temu,19,https://adresowo.pl/o/mieszkanie-poznan-2-pokojowe-38-m2-r5v8h3,https://s2.adresowa.pl/oi/28/17/3aa1fc_7ad8_cover-2-pokojowe-mieszkanie-poznan.jpg
Poznań,ul. Wiejska,2,41,549000,13390,Oferta biura nieruchomości,ponad tydzień temu,16,https://adresowo.pl/o/mieszkanie-poznan-ul-wiejska-2-pokojowe-u8l1c3,https://s2.adresowa.pl/oi/69/7c/3a9fc8_3a1e_cover-2-pokojowe-mieszkanie-poznan-ul-wiejska.jpg
Poznań Wilda,ul. Wspólna,3,74,849000,11411,Bez pośredników,ponad tydzień temu,16,https://adresowo.pl/o/mieszkanie-poznan-wilda-ul-wspolna-3-pokojowe-z5a1g9,https://s2.adresowa.pl/oi/33/1e/3a9320_9b0d_cover-3-pokojowe-mieszkanie-poznan-wilda-ul-wspolna.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Poznań Winogrady,os. Przyjaźni,2,38,396000,10394,Bez pośredników,ponad tydzień temu,16,https://adresowo.pl/o/mieszkanie-poznan-winogrady-os-przyjazni-2-pokojowe-n3c5e1,https://s2.adresowa.pl/oi/74/54/3a7a80_a1cd_cover-2-pokojowe-mieszkanie-poznan-winogrady-os-przyjazni.jpg
